Year,Series,Sex,Place of residence,Unit,Value,,,,,
2016,Proportion of births attended by skilled health personnel,Male,,Number,126,,,,,
2016,Proportion of births attended by skilled health personnel,Female,,Number,114,,,,,
2021,Proportion of births attended by skilled health personnel,Male,,Number,109,,,,,
2021,Proportion of births attended by skilled health personnel,Female,,Number,95,,,,,
2016,Proportion of births attended by skilled health personnel,,Urban,Number,78,,,,,
2016,Proportion of births attended by skilled health personnel,,Rural,,138,,,,,
2021,Proportion of births attended by skilled health personnel,,Urban,,67,,,,,
2021,Proportion of births attended by skilled health personnel,,Rural,,123,,,,,
2016,Proportion of births attended by skilled health personnel,,National,,120,,,,,
2021,Proportion of births attended by skilled health personnel,,National,,102,,,,,
