Year,Series,Sex,Sector,Unit,Value 
2017,Proportion of births attended by skilled health personnel,,,Number,120
2021,Proportion of births attended by skilled health personnel,,,Number,102
2017,Proportion of births attended by skilled health personnel,Male,,Number,126
2017,Proportion of births attended by skilled health personnel,Female,,Number,114
2021,Proportion of births attended by skilled health personnel,Male,,Number,109
2021,Proportion of births attended by skilled health personnel,Female,,Number,95
2017,Proportion of births attended by skilled health personnel,,Urban,Number,78
2017,Proportion of births attended by skilled health personnel,,Rural,Number,138
2021,Proportion of births attended by skilled health personnel,,Urban,Number,67
2021,Proportion of births attended by skilled health personnel,,Rural,Number,123
