Year,Series,Country,Unit,Value
2016,Proportion of births attended by skilled health personnel  National,Nigeria,Percentage(%),43
2022,Proportion of births attended by skilled health personnel National,Nigeria,Percentage(%),50.7
2016,Proportion of births attended by skilled health personnel in Urban,Urban,Percentage(%),67.1
2022,Proportion of births attended by skilled health personnel in Rural,Rural,Percentage(%),77.3
2016,Proportion of births attended by skilled health personnel in North_Central,North Central,Percentage(%),50.3
2022,Proportion of births attended by skilled health personnel in North_Central,North Central,Percentage(%),59.3
2016,Proportion of births attended by skilled health personnel in North_East,North East,Percentage(%),34
2022,Proportion of births attended by skilled health personnel in North_East,North East,Percentage(%),35.4
2016,Proportion of births attended by skilled health personnel in North_West,North West,Percentage(%),23.6
2022,Proportion of births attended by skilled health personnel in North_West,North West,Percentage(%),24.2
2016,Proportion of births attended by skilled health personnel in South_East,South East,Percentage(%),90.7
2022,Proportion of births attended by skilled health personnel in South_East,South East,Percentage(%),92.8
2016,Proportion of births attended by skilled health personnel in South_South,South South,Percentage(%),64
2022,Proportion of births attended by skilled health personnel in South_South,South South,Percentage(%),63.7
2016,Proportion of births attended by skilled health personnel in South_West,South West,Percentage(%),82.7
2022,Proportion of births attended by skilled health personnel in South_West,South West,Percentage(%),79.7
