Year,Series,Unit multiplier,Unit,Value
2018," Prevalence of anaemia in women aged 15 to 19 years, by pregnancy status,Any <12.0 g/dl (percentage)",,Any <12.0 g/dl,60.5
2018," Prevalence of anaemia in women aged 15 to 19 years, by pregnancy status (Mild 11.0-11.9 g/dl)",,Mild 11.0-11.9 g/dl,30.5
2018," Prevalence of anaemia in women aged 15 to 19 years, by pregnancy status (Moderate 8.0-10.9 g/dl)",,Moderate 8.0-10.9 g/dl,28.6
2018," Prevalence of anaemia in women aged 20 to 29 years, by pregnancy status (Any <12.0 g/dl)",,Any <12.0 g/dl,56
2018," Prevalence of anaemia in women aged 20 to 29 years, by pregnancy status (Mild 11.0-11.9 g/dl)",,Mild 11.0-11.9 g/dl,26.2
2018," Prevalence of anaemia in women aged 20 to 29 years, by pregnancy status (Moderate 8.0-10.9 g/dl)",,Moderate 8.0-10.9 g/dl,28.5
2018," Prevalence of anaemia in women aged 30 to 39 years, by pregnancy status (Any <12.0 g/dl)",,Any <12.0 g/dl,58.4
2018," Prevalence of anaemia in women aged 30 to 39 years, by pregnancy status (Mild 11.0-11.9 g/dl)",,Mild 11.0-11.9 g/dl,27.5
2018," Prevalence of anaemia in women aged 30 to 39 years, by pregnancy status (Moderate 8.0-10.9 g/dl)",,Moderate 8.0-10.9 g/dl,28.8
2018," Prevalence of anaemia in women aged 40 to 49 years, by pregnancy status (Any <12.0 g/dl)",,Any <12.0 g/dl,57.5
2018," Prevalence of anaemia in women aged 40 to 49 years, by pregnancy status (Mild 11.0-11.9 g/dl)",,Mild 11.0-11.9 g/dl,28.4
2018," Prevalence of anaemia in women aged 40 to 49 years, by pregnancy status (Moderate 8.0-10.9 g/dl)",,Moderate 8.0-10.9 g/dl,27.4
